fold,classifier,bulkformer_params,cpgpt_params,early_params
0,LogReg,"{""clf__C"": 0.01}","{""clf__C"": 10.0}","{""clf__C"": 0.01}"
0,SVM,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}","{""clf__C"": 100.0, ""clf__gamma"": 0.001}","{""clf__C"": 10.0, ""clf__gamma"": 0.001}"
0,XGBoost,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}","{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}","{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
1,LogReg,"{""clf__C"": 0.01}","{""clf__C"": 10.0}","{""clf__C"": 100.0}"
1,SVM,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}","{""clf__C"": 100.0, ""clf__gamma"": 0.001}","{""clf__C"": 10.0, ""clf__gamma"": 0.001}"
1,XGBoost,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 100}","{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}","{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300}"
2,LogReg,"{""clf__C"": 0.1}","{""clf__C"": 10.0}","{""clf__C"": 0.01}"
2,SVM,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}","{""clf__C"": 100.0, ""clf__gamma"": 0.001}","{""clf__C"": 10.0, ""clf__gamma"": 0.001}"
2,XGBoost,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}","{""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 300}","{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}"
3,LogReg,"{""clf__C"": 0.01}","{""clf__C"": 1.0}","{""clf__C"": 0.1}"
3,SVM,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}","{""clf__C"": 100.0, ""clf__gamma"": 0.001}","{""clf__C"": 10.0, ""clf__gamma"": 0.001}"
3,XGBoost,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200}","{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300}","{""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 200}"
4,LogReg,"{""clf__C"": 0.01}","{""clf__C"": 1.0}","{""clf__C"": 0.01}"
4,SVM,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}","{""clf__C"": 100.0, ""clf__gamma"": 0.001}","{""clf__C"": 10.0, ""clf__gamma"": 0.001}"
4,XGBoost,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 200}","{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}","{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300}"
