fusion,classifier,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std
BulkFormer,LogReg,0.985,0.009478594305064458,0.984985418618049,0.009543319328375434,0.9979607430576272,0.0028907079147112015
BulkFormer,SVM,0.9875,0.00625000000000003,0.9875457059896572,0.0062150038525483455,0.9979550414284638,0.002727872371883254
BulkFormer,XGBoost,0.9800000000000001,0.005229125165838015,0.9800011335042782,0.005205366507430024,0.997243997649863,0.0033398355245669135
CpGPT,LogReg,0.8699999999999999,0.020916500663351822,0.8702052729967249,0.02187419285553213,0.9808797677742428,0.004267178382421172
CpGPT,SVM,0.8775000000000001,0.031124748994971873,0.8773536407551287,0.03133850744724086,0.9806740029049534,0.004906806242658016
CpGPT,XGBoost,0.8012499999999999,0.042481613669916055,0.8006511383323935,0.041423952170882676,0.9619972988132194,0.010466967196037262
EarlyFusion,LogReg,0.9887499999999999,0.009270248108869667,0.9887648725125603,0.00920256652830171,0.9980190035832874,0.0029385531598917526
EarlyFusion,SVM,0.99,0.005590169943749481,0.9899733908683224,0.005648696744383769,0.9979531710809532,0.003088606027412485
EarlyFusion,XGBoost,0.9712500000000001,0.0034232659844072805,0.9711052694855876,0.0035021611793306495,0.997594735765723,0.00263574857619967
LateFusion_Avg,LogReg,0.975,0.00883883476483186,0.9751049402085288,0.008692479226294837,0.9976555620245067,0.002815624155702786
LateFusion_Avg,SVM,0.9824999999999999,0.005229125165838025,0.9826031581503084,0.005195273466202241,0.9980215693164108,0.0025416307586536716
LateFusion_Avg,XGBoost,0.96,0.021919597395937688,0.9600024373757263,0.021916528511317455,0.9962873681844616,0.0017654810403600698
LateFusion_Learned,LogReg,0.99,0.005590169943749478,0.9899732458385806,0.005637087866333994,0.9979700255230497,0.0027436151529556287
LateFusion_Learned,SVM,0.9862500000000001,0.005229125165838012,0.9862604886385675,0.005246289067082692,0.9982760618005446,0.002238747635286662
LateFusion_Learned,XGBoost,0.9824999999999999,0.011180339887498962,0.98247276506396,0.011146268655802167,0.9964636098047986,0.003502210993548686
