Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Complement and coagulation cascades,14/85,1.3946166425357102e-08,3.7236264355703455e-06,0,0,8.229643958169618,148.8583033610749,FGA;SERPIND1;SERPINC1;F12;C4BPA;C4BPB;F2;C8A;CLU;PROCR;C5;SERPING1;MASP2;F2RL2
KEGG_2021_Human,Thyroid hormone synthesis,9/75,7.557596981277456e-05,0.0100893919700054,0,0,5.632310364794441,53.45272162291697,GPX2;TTR;PAX8;ATF6B;FXYD2;DUOXA2;ADCY3;PRKCA;DUOX2
KEGG_2021_Human,Maturity onset diabetes of the young,5/26,0.00033801029169734474,0.0300829159610636,0,0,9.773934837092732,78.11753119871668,PKLR;HNF4A;SLC2A2;HNF1B;HNF1A
KEGG_2021_Human,TNF signaling pathway,9/112,0.001517269453973,0.1012777360527026,0,0,3.602189103951518,23.381243827277142,CEBPB;CASP8;ATF6B;CASP10;TRAF3;CCL20;AKT1;CFLAR;MAP3K14
KEGG_2021_Human,Steroid hormone biosynthesis,6/61,0.0033706031136489,0.151441981174124,0,0,4.479861910241657,25.50234676295928,AKR1C1;HSD17B2;AKR1C3;CYP1B1;UGT2B4;AKR1C2
KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,10/150,0.0034031905881825,0.151441981174124,0,0,2.945288753799392,16.73819933388663,ATF6B;TPM3;KCNQ1;FXYD2;AKT1;ADCY3;PRKCA;CALML4;SCN1B;AGT
KEGG_2021_Human,Carbohydrate digestion and absorption,5/47,0.0052187660180434,0.197654423571591,0,0,4.881704260651629,25.65576891635581,FXYD2;SLC2A2;AKT1;SLC37A4;HK2
KEGG_2021_Human,Bile secretion,7/90,0.005922229919748,0.197654423571591,0,0,3.465676660128888,17.775601929306553,ABCG8;ABCG5;SLC10A1;FXYD2;UGT2B4;ADCY3;SLC27A5
KEGG_2021_Human,Cholesterol metabolism,5/50,0.006799171297575,0.2017087484947252,0,0,4.555555555555555,22.73657069238229,ABCG8;ABCG5;LIPC;APOC2;APOA2
KEGG_2021_Human,Pertussis,6/76,0.0098379888892897,0.262674303344036,0,0,3.5171790235081373,16.254656820260553,ITGB1;C5;SERPING1;C4BPA;C4BPB;CALML4
KEGG_2021_Human,Thyroid cancer,4/37,0.0115713915840193,0.2808692320848343,0,0,4.962312197606315,22.128039166856063,PAX8;TPM3;TCF7;NCOA4
KEGG_2021_Human,Insulin secretion,6/86,0.0173532736946728,0.3861103397064709,0,0,3.075949367088608,12.469819081903088,ATF6B;FXYD2;SLC2A2;ADCY3;PRKCA;STX1A
KEGG_2021_Human,Ovarian steroidogenesis,4/51,0.033753086762656,0.485244997300443,0,0,3.4816735204720186,11.79828928466958,HSD17B2;AKR1C3;CYP1B1;ADCY3
KEGG_2021_Human,beta-Alanine metabolism,3/30,0.0345305428790577,0.485244997300443,0,0,4.5406475658047984,15.283415796601249,DPYS;ACOX3;UPB1
KEGG_2021_Human,Pathways in cancer,20/531,0.0323663229096312,0.485244997300443,0,0,1.6173742874159789,5.548623771004713,ITGB1;LAMB3;TPM3;HDAC1;NCOA4;TCF7;ADCY3;PRKCA;CALML4;F2;ESR1;AGT;CCNA1;CCND3;CASP8;PAX8;TRAF3;ABL1;AKT1;GSTM5
KEGG_2021_Human,Thyroid hormone signaling pathway,7/121,0.0267846370900705,0.485244997300443,0,0,2.5192314825117763,9.119433555773057,PFKFB2;HDAC1;FXYD2;AKT1;PRKCA;ESR1;MED13L
KEGG_2021_Human,Aldosterone synthesis and secretion,6/98,0.0306739739797759,0.485244997300443,0,0,2.6730875068794715,9.313947693883817,NR4A2;ATF6B;ADCY3;PRKCA;CALML4;AGT
KEGG_2021_Human,Amphetamine addiction,5/69,0.024976144423777,0.485244997300443,0,0,3.2,11.807469224715184,ATF6B;HDAC1;PRKCA;CALML4;STX1A
KEGG_2021_Human,Chemical carcinogenesis,11/239,0.0300478133542702,0.485244997300443,0,0,1.9845509295627128,6.955782317970038,CCND3;ATF6B;NR1I3;AKT1;CYP1B1;ADCY3;AKR1C2;UGT2B4;PRKCA;ESR1;GSTM5
KEGG_2021_Human,Hepatitis B,8/162,0.042015120817617,0.5609018629151881,0,0,2.1314109619194364,6.7559881160955735,CCNA1;CASP8;ATF6B;SLC10A1;CASP10;TRAF3;AKT1;PRKCA
