config_A,config_B,A_correct_B_wrong,A_wrong_B_correct,p_value
CpGPT_XGBoost,EarlyFusion_LogReg,0,150,4.727960179905763e-34
CpGPT_XGBoost,EarlyFusion_SVM,1,152,7.618546555149064e-34
CpGPT_XGBoost,LateFusion_Learned_LogReg,2,153,1.980154213420691e-33
BulkFormer_SVM,CpGPT_XGBoost,150,1,2.084156617837643e-33
CpGPT_XGBoost,LateFusion_Learned_SVM,1,149,3.447249803028243e-33
CpGPT_XGBoost,LateFusion_Avg_SVM,0,145,5.8576445393306325e-33
BulkFormer_LogReg,CpGPT_XGBoost,150,3,3.7485158716138177e-32
CpGPT_XGBoost,LateFusion_Learned_XGBoost,3,148,1.0240522098957552e-31
CpGPT_XGBoost,LateFusion_Avg_LogReg,1,140,3.19723469106127e-31
BulkFormer_XGBoost,CpGPT_XGBoost,149,6,3.9154923851397214e-30
CpGPT_XGBoost,LateFusion_Avg_XGBoost,2,129,3.4708529729944137e-28
CpGPT_XGBoost,EarlyFusion_XGBoost,8,144,6.648729509848199e-28
CpGPT_LogReg,LateFusion_Learned_LogReg,2,98,2.0989030150725186e-21
CpGPT_LogReg,EarlyFusion_SVM,2,98,2.0989030150725186e-21
CpGPT_LogReg,EarlyFusion_LogReg,2,97,3.4749903462159206e-21
CpGPT_LogReg,LateFusion_Learned_SVM,3,96,2.3229415544240546e-20
CpGPT_SVM,EarlyFusion_LogReg,1,90,2.838082330885844e-20
BulkFormer_SVM,CpGPT_LogReg,98,4,3.3110797422682234e-20
CpGPT_SVM,LateFusion_Learned_LogReg,2,92,4.3249849491208264e-20
CpGPT_LogReg,LateFusion_Avg_SVM,2,92,4.3249849491208264e-20
CpGPT_SVM,EarlyFusion_SVM,2,92,4.3249849491208264e-20
CpGPT_LogReg,LateFusion_Avg_LogReg,0,84,1.352694549527436e-19
BulkFormer_LogReg,CpGPT_LogReg,97,5,2.05413693983763e-19
CpGPT_SVM,LateFusion_Avg_SVM,1,85,3.550955563658647e-19
